KODE	NAMA BAHAN	SUMBER	AIR (g)	ENERGI (Kal)	PROTEIN (g)	LEMAK (g)	KH (g)	SERAT (g)	ABU (g)	KALSIUM (mg)	FOSFOR (mg)	BESI (mg)	NATRIUM (mg)	KALIUM (mg)	TEMBAGA (mg)	SENG (mg)	RETINOL (mcg)	B-KAR (mcg)	KAR-TOTAL (mcg)	THIAMIN (mg)	RIBOFLAVIN (mg)	NIASIN (mg)	VIT-C (mg)	BDD (%)	KATEGORI	HARGA	MIKRO_TAGS
AR004	Beras hitam, mentah	KZGMI-2001	12.9	351	8.0	1.3	76.9	20.1	0.9	6	198	0.1	15	105.0	0.1	1.6	0	0	0	0.21	0.06	0.0	0	100	Serealia	murah	
AR005	Beras jagung kuning, kering, mentah	KZGMI-2001	10.8	358	5.5	0.1	82.7	10.0	0.9	20	90	1.4	1	80.0	0.1	4.1	0	641	0	0.12	0.08	1.0	3	100	Serealia	murah	
AR008	Beras ketan putih tumbuk, mentah	KZGPI- 1990	12.9	361	7.4	0.8	78.4	0.4	0.5	13	157	3.4	3	282.0	0.28	2.2	0	0	0	0.28	0.0	1.4	0	100	Serealia	murah	
GR053	Ikan patin, segar	KZGMI-2001	74.4	132	17.0	6.6	1.1	0.0	0.9	31	173	1.6	77	346.0	0.7	0.8	0	7	0	0.2	0.03	1.7	0	0	Hewan Air Tawar	sedang	Sumber Vitamin D (estimasi)|Sumber Omega-3 (estimasi)
GR046	Ikan mas, segar	DABM- 1964	80.0	86	16.0	2.0	0.0	0.0	2.0	20	150	2.0	65	276.7	0.1	1.1	45	8	0	0.05	0.1	2.6	0	80	Hewan Air Tawar	sedang	
GR025	Ikan gabus, segar	KZGMI-2001	79.6	80	16.2	0.5	2.6	0.0	1.1	170	139	0.1	65	254.0	0.3	0.4	335	0	0	0.4	0.2	0.1	0	0	Hewan Air Tawar	sedang	
GR001	Belut, segar	KZGMI-2001	81.5	70	14.6	0.8	1.0	0.0	2.1	49	155	1.5	55	169.0	0.2	1.2	0	0	0	0.22	0.12	7.7	0	0	Hewan Air Tawar	mahal	Sumber Vitamin D (estimasi)|Sumber Omega-3 (estimasi)
GR082	Udang galah, segar	KZGMI-2001	79.0	81	16.5	0.3	3.0	0.0	1.2	87	167	0.7	95	132.0	0.7	1.2	0	3	0	0.24	0.03	2.9	0	68	Hewan Laut	mahal	Sumber Omega-3 (estimasi)
GR003	Cumi-cumi, segar	KZGPI- 1990	82.2	75	16.1	0.7	0.1	0.0	0.9	32	200	1.8	37	204.1	1.6	1.3	0	20	0	0.08	0.0	2.5	0	0	Hewan Laut	mahal	Sumber Omega-3 (estimasi)
GR068	Ikan teri, segar	KZGPI- 1990	80.0	74	10.3	1.4	4.1	0.0	4.2	972	253	3.9	554	126.1	305.2	0.2	13	0	28	0.24	0.1	1.9	0	100	Hewan Laut	murah	Sumber Kalsium|Sumber Fosfor|Sumber Natrium|Sumber Omega-3 (estimasi)
FR005	Daging Ayam, segar	DABM-1964	55.9	298	18.2	25.0	0.0	0.0	0.9	14	200	1.5	109	385.9	0.11	0.6	245	0	0	0.08	0.14	10.4	0	58	Unggas	murah	
FR007	Hati Ayam,  segar	KZGMS- 1993	53.4	261	27.4	16.1	1.6	0.0	1.5	118	373	15.8	1068	22.9	0.84	0.0	4957	169	28000	0.64	4.38	4.1	0	100	Unggas	murah	Sumber Zat Besi|Sumber Fosfor|Sumber Vitamin A|Sumber Natrium|Sumber Vitamin D (estimasi)
HR001	Telur ayam kampung, segar	KZGMI-2001	73.1	174	10.8	14.0	1.2	0.0	0.9	68	268	4.9	190	141.0	0.6	1.5	203	23	125	0.78	0.62	0.2	0	87	Unggas	murah	Sumber Natrium|Sumber Vitamin D (estimasi)
HR002	Telur ayam ras, segar	KZGPI-1990	74.3	154	12.4	10.8	0.7	0.0	0.8	86	258	3.0	142	118.5	0.16	1.0	61	22	104	0.12	0.38	0.2	0	89	Unggas	murah	Sumber Natrium|Sumber Vitamin D (estimasi)
HR005	Telur bebek alabio, segar	KZGMI-2001	70.0	187	11.8	14.2	3.0	0.0	1.0	60	268	6.0	115	80.0	0.6	1.7	180	437	0	1.55	0.37	0.1	0	90	Unggas	sedang	Sumber Vitamin D (estimasi)
FR024	Daging Sapi, segar	DABM-1964	60.0	273	17.5	22.0	0.0	0.0	0.5	10	150	2.6	93	267.0	0.17	6.4	12	0	0	0.08	0.18	7.3	0	100	Mamalia	mahal	Sumber Zat Besi|Sumber Seng|Sumber Natrium
FR019	Daging Kambing, segar	DABM-1964	70.3	149	16.6	9.2	0.0	0.0	3.9	11	124	1.0	96	268.7	0.31	4.9	0	0	0	0.09	0.23	5.0	0	100	Mamalia	mahal	Sumber Seng
FR031	Hati Sapi, segar	DABM-1964	69.7	132	19.7	3.2	6.0	0.0	1.4	7	358	6.6	110	213.0	0.51	2.3	13303	355	0	0.26	1.52	11.4	31	100	Mamalia	sedang	Sumber Zat Besi|Sumber Fosfor|Sumber Seng|Sumber Vitamin A|Sumber Vitamin D (estimasi)
